,datetime,machineID,errorID
0,2015-01-03 07:00:00,1,error1
1,2015-01-03 20:00:00,1,error3
2,2015-01-04 06:00:00,1,error5
3,2015-01-10 15:00:00,1,error4
4,2015-01-22 10:00:00,1,error4
5,2015-01-25 15:00:00,1,error4
6,2015-01-27 04:00:00,1,error1
7,2015-03-03 22:00:00,1,error2
8,2015-03-05 06:00:00,1,error1
9,2015-03-20 18:00:00,1,error1
10,2015-03-26 01:00:00,1,error2
11,2015-03-31 23:00:00,1,error1
12,2015-04-19 06:00:00,1,error2
13,2015-04-19 06:00:00,1,error3
14,2015-04-29 19:00:00,1,error4
15,2015-05-04 23:00:00,1,error2
16,2015-05-12 09:00:00,1,error1
17,2015-05-21 07:00:00,1,error4
18,2015-05-24 02:00:00,1,error3
19,2015-05-25 05:00:00,1,error1
20,2015-06-09 06:00:00,1,error3
21,2015-06-18 06:00:00,1,error5
22,2015-06-23 10:00:00,1,error3
23,2015-08-23 19:00:00,1,error1
24,2015-08-30 01:00:00,1,error3
25,2015-09-01 06:00:00,1,error5
26,2015-09-13 17:00:00,1,error2
27,2015-09-15 06:00:00,1,error1
28,2015-10-01 23:00:00,1,error1
29,2015-10-15 05:00:00,1,error1
30,2015-10-16 03:00:00,1,error3
31,2015-10-16 06:00:00,1,error2
32,2015-10-16 06:00:00,1,error3
33,2015-11-10 04:00:00,1,error3
34,2015-12-15 06:00:00,1,error5
63,2015-01-06 06:00:00,3,error2
64,2015-01-06 06:00:00,3,error3
65,2015-01-08 02:00:00,3,error1
66,2015-01-11 05:00:00,3,error1
67,2015-01-11 19:00:00,3,error3
68,2015-01-28 17:00:00,3,error4
69,2015-02-05 06:00:00,3,error1
70,2015-02-23 06:00:00,3,error4
71,2015-03-02 11:00:00,3,error4
72,2015-03-21 16:00:00,3,error3
73,2015-04-06 16:00:00,3,error2
74,2015-04-09 09:00:00,3,error3
75,2015-04-26 19:00:00,3,error2
76,2015-05-06 19:00:00,3,error4
77,2015-05-24 15:00:00,3,error2
78,2015-06-10 21:00:00,3,error4
79,2015-06-27 07:00:00,3,error1
80,2015-07-09 21:00:00,3,error4
81,2015-07-18 19:00:00,3,error1
82,2015-07-20 06:00:00,3,error2
83,2015-07-20 06:00:00,3,error3
84,2015-07-25 23:00:00,3,error4
85,2015-07-29 17:00:00,3,error1
86,2015-08-02 15:00:00,3,error1
87,2015-08-07 04:00:00,3,error2
88,2015-09-08 04:00:00,3,error1
89,2015-09-13 11:00:00,3,error1
90,2015-09-18 10:00:00,3,error2
91,2015-10-01 02:00:00,3,error5
92,2015-10-03 06:00:00,3,error2
93,2015-10-03 06:00:00,3,error3
94,2015-10-23 14:00:00,3,error3
95,2015-10-31 23:00:00,3,error2
96,2015-11-07 15:00:00,3,error4
97,2015-11-20 23:00:00,3,error1
98,2015-12-02 06:00:00,3,error2
99,2015-12-02 06:00:00,3,error3
100,2015-12-19 22:00:00,3,error5
101,2015-12-25 12:00:00,3,error1
102,2015-01-04 03:00:00,4,error3
103,2015-01-06 01:00:00,4,error1
104,2015-01-11 14:00:00,4,error3
105,2015-01-13 18:00:00,4,error2
106,2015-01-14 21:00:00,4,error1
107,2015-01-16 06:00:00,4,error2
108,2015-01-16 06:00:00,4,error3
109,2015-02-12 15:00:00,4,error2
110,2015-02-15 06:00:00,4,error1
111,2015-02-27 09:00:00,4,error1
112,2015-03-19 05:00:00,4,error2
113,2015-03-22 22:00:00,4,error1
114,2015-04-01 06:00:00,4,error2
115,2015-04-01 06:00:00,4,error3
116,2015-04-06 14:00:00,4,error1
117,2015-05-03 17:00:00,4,error2
118,2015-06-23 08:00:00,4,error2
119,2015-07-15 06:00:00,4,error2
120,2015-07-15 06:00:00,4,error3
121,2015-07-24 05:00:00,4,error2
122,2015-07-27 17:00:00,4,error4
123,2015-08-10 06:00:00,4,error4
124,2015-08-29 06:00:00,4,error1
125,2015-09-05 06:00:00,4,error2
126,2015-10-10 07:00:00,4,error1
127,2015-10-13 06:00:00,4,error2
128,2015-10-13 06:00:00,4,error3
129,2015-10-17 20:00:00,4,error1
130,2015-10-28 16:00:00,4,error3
131,2015-11-12 16:00:00,4,error3
132,2015-12-04 06:00:00,4,error1
133,2015-01-08 06:00:00,5,error2
134,2015-01-08 06:00:00,5,error3
135,2015-01-31 19:00:00,5,error1
136,2015-02-22 06:00:00,5,error1
137,2015-02-24 14:00:00,5,error3
138,2015-03-09 10:00:00,5,error2
139,2015-03-18 22:00:00,5,error1
140,2015-03-21 15:00:00,5,error4
141,2015-03-21 16:00:00,5,error2
142,2015-04-06 02:00:00,5,error5
143,2015-04-08 06:00:00,5,error1
144,2015-05-08 15:00:00,5,error1
145,2015-05-17 00:00:00,5,error1
146,2015-06-01 22:00:00,5,error1
147,2015-06-05 01:00:00,5,error4
148,2015-06-12 18:00:00,5,error3
149,2015-06-22 06:00:00,5,error2
150,2015-06-22 06:00:00,5,error3
151,2015-06-23 12:00:00,5,error3
152,2015-07-12 22:00:00,5,error1
153,2015-07-16 04:00:00,5,error3
154,2015-07-26 08:00:00,5,error1
155,2015-07-29 09:00:00,5,error4
156,2015-08-11 02:00:00,5,error4
157,2015-08-19 12:00:00,5,error2
158,2015-08-30 03:00:00,5,error2
159,2015-09-05 06:00:00,5,error1
160,2015-09-06 06:00:00,5,error5
161,2015-09-27 20:00:00,5,error1
162,2015-10-05 06:00:00,5,error2
163,2015-10-05 06:00:00,5,error3
164,2015-11-19 06:00:00,5,error1
165,2015-12-04 02:00:00,5,error1
166,2015-12-04 18:00:00,5,error5
167,2015-12-15 16:00:00,5,error1
168,2015-12-20 05:00:00,5,error4
169,2015-12-21 09:00:00,5,error4
170,2015-12-30 09:00:00,5,error2
171,2015-01-14 12:00:00,6,error2
172,2015-01-26 12:00:00,6,error1
173,2015-02-03 22:00:00,6,error2
174,2015-03-29 20:00:00,6,error4
175,2015-04-05 21:00:00,6,error1
176,2015-04-23 16:00:00,6,error3
177,2015-04-25 16:00:00,6,error1
178,2015-05-01 22:00:00,6,error2
179,2015-05-24 08:00:00,6,error5
180,2015-06-01 01:00:00,6,error2
181,2015-06-03 07:00:00,6,error2
182,2015-08-11 04:00:00,6,error2
183,2015-08-20 06:00:00,6,error4
184,2015-09-14 10:00:00,6,error2
185,2015-09-18 20:00:00,6,error1
186,2015-09-26 08:00:00,6,error2
187,2015-10-05 21:00:00,6,error1
188,2015-10-15 16:00:00,6,error3
189,2015-10-21 22:00:00,6,error1
190,2015-10-23 19:00:00,6,error2
191,2015-11-13 03:00:00,6,error1
192,2015-12-07 06:00:00,6,error4
193,2015-12-10 22:00:00,6,error3
194,2015-01-17 20:00:00,7,error1
195,2015-01-21 07:00:00,7,error3
196,2015-01-23 06:00:00,7,error2
197,2015-01-23 06:00:00,7,error3
198,2015-01-23 06:00:00,7,error5
199,2015-02-07 06:00:00,7,error1
200,2015-03-09 18:00:00,7,error4
201,2015-03-10 22:00:00,7,error2
202,2015-03-21 05:00:00,7,error3
203,2015-03-27 22:00:00,7,error2
204,2015-04-12 08:00:00,7,error1
205,2015-04-23 06:00:00,7,error1
206,2015-04-23 09:00:00,7,error4
207,2015-05-08 06:00:00,7,error5
208,2015-05-13 11:00:00,7,error2
209,2015-05-23 06:00:00,7,error2
210,2015-05-23 06:00:00,7,error3
211,2015-06-24 08:00:00,7,error3
212,2015-06-29 00:00:00,7,error1
213,2015-07-07 06:00:00,7,error2
214,2015-07-07 06:00:00,7,error3
215,2015-07-13 05:00:00,7,error2
216,2015-08-07 18:00:00,7,error2
217,2015-08-09 06:00:00,7,error3
218,2015-08-11 12:00:00,7,error1
219,2015-08-30 22:00:00,7,error4
220,2015-09-08 19:00:00,7,error2
221,2015-09-17 18:00:00,7,error1
222,2015-09-20 06:00:00,7,error5
223,2015-09-22 19:00:00,7,error2
224,2015-10-13 08:00:00,7,error4
